ID,渠道,谷子状态,肾表,国际表,退补表,到货日,免费囤货ddl,备注,下单记录,谷图
m29797593453,煤,囤货已超时,,,,2026年2月8日,2026年5月8日,,,
m40694063072,煤,囤货已超时,,,,2026年2月8日,2026年5月8日,,,
m48352963211,煤,囤货已超时,,,,2026年2月8日,2026年5月8日,,,
m35900367101,煤,囤货已超时,,,,2026年2月8日,2026年5月8日,,,
m42655158092,煤,囤货已超时,,,,2026年2月8日,2026年5月8日,,,
z539976732,雅虎,囤货已超时,,,,2026年2月8日,2026年5月8日,雅虎猫耳（b）,,
m62556750135,煤,囤货已超时,,,,2026年2月8日,2026年5月8日,,,
m60934233350,煤,国现可排发,,,,2026年3月14日,2026年6月14日,7立,悠奈,
m25185825263,煤,国现可排发,,,,2026年3月14日,2026年6月14日,,,
m95016260763,煤,国现可排发,,,,2026年3月14日,2026年6月14日,,,
m33849361813,煤,国现可排发,,,,2026年3月14日,2026年6月14日,,,
m45762658439,煤,国现可排发,,,,2026年3月14日,2026年6月14日,,,
m28399013140,煤,国现可排发,,,,2026年3月14日,2026年6月14日,,,
m22923325683,煤,国现可排发,,,,2026年3月17日,2026年6月17日,2盒猫耳（a/b各一）,,
m50340643227,煤,国现可排发,,,,2026年3月17日,2026年6月17日,,,
m45520453252,煤,国现可排发,,,,2026年3月17日,2026年6月17日,,,
m41183466725,煤,国现可排发,,,,2026年3月17日,2026年6月17日,,,
m85707692118,煤,国现可排发,,,,2026年3月17日,2026年6月17日,,,
2JL8odBZiBDtXygfs65Zo9,煤,国现可排发,,,,2026年3月14日,2026年6月14日,,,
m98954214105,煤,国现可排发,,,,2026年3月14日,2026年6月14日,mo好坏懵,悠奈,
m77286784713,煤,国现可排发,,,,2026年3月14日,2026年6月14日,龙杂盘,悠奈,
m35360263144,煤,国现可排发,,,,2026年3月14日,2026年6月14日,,,
m16032223193,煤,国现可排发,,,,2026年3月14日,2026年6月14日,,,
m74145455495,煤,国现可排发,,,,2026年3月14日,2026年6月14日,,,
m15271759774,煤,国现可排发,,,,2026年3月23日,2026年6月23日,猫耳（a）,,
m90190353623,煤,国现可排发,,,,2026年3月23日,2026年6月23日,,,
m33685283355,煤,国现可排发,,,,2026年3月23日,2026年6月23日,7兔管pld,悠奈,
m59460025576,煤,国现可排发,,,,2026年3月23日,2026年6月23日,,,
m46132135341,煤,国现可排发,,,,2026年3月23日,2026年6月23日,,,
m23339984559,煤,国现可排发,,,,2026年3月23日,2026年6月23日,,,
m15393095248,煤,国现可排发,,,,2026年3月23日,2026年6月23日,,,
m28183150496,煤,国现可排发,,,,2026年3月23日,2026年6月23日,," ", 一桶
m26008327587,煤,国现可排发,,,,2026年3月23日,2026年6月23日,,,
m33691200634,煤,国现可排发,,,,2026年3月27日,2026年6月27日,7纪念日吧唧盘,悠奈,
6962378,指南针,国现可排发,,,,2026年3月27日,2026年6月27日,,,
m47927385729,煤,国现可排发,,,,2026年3月27日,2026年6月27日,,,
m71639262345,煤,国现可排发,,,,2026年3月27日,2026年6月27日,,,
m14534464713,煤,国现可排发,,,,2026年3月27日,2026年6月27日,,,
m25850308687,煤,国现可排发,,,,2026年3月27日,2026年6月27日,,,
m62486083868,煤,国现可排发,,,,2026年4月3日,2026年7月3日,,,
m79558219982,煤,国现可排发,,,,2026年4月3日,2026年7月3日,猫耳（a）,,
m88474402832,煤,国现可排发,,,,2026年4月3日,2026年7月3日,,,
m62198069369,煤,国现可排发,,,,2026年4月3日,2026年7月3日,,,
m26918827769,煤,国现可排发,,,,2026年4月3日,2026年7月3日,,,
m98006704663,煤,国现可排发,,,,2026年4月3日,2026年7月3日,,,
m93313134139,煤,国现可排发,,,,2026年4月3日,2026年7月3日,,篱落单切,
